lat,lon,name,weight,food
49.2668529,-123.0090851,Sushi Garden,6.0,1
49.0448257,-122.778652,Starbucks,3.0,1
49.044471,-122.7772142,A&W,2.0,1
49.255696,-123.0896525,Bells And Whistles,6.0,1
49.2559475,-123.0877967,Thanh Thanh,6.0,1
49.2826274,-123.1252133,Le Crocrodile,6.0,1
49.1206336,-122.890725,Brown's Socialhouse,6.0,1
49.2420515,-122.760669,Iron Bowl Japanese,6.0,1
49.1609291,-122.8877688,Nordel Sushi,6.0,1
49.1614935,-122.8908325,KFC,2.0,1
49.1614786,-122.89107,Taco Bell,2.0,1
49.2027477,-122.8795076,McDonald's,2.0,1
49.1468811,-122.8910518,Cactus Club Cafe,6.0,1
49.1690817,-122.5800011,Fort Langley Library,2.0,0
49.1688123,-122.579298,Asa Sushi,6.0,1
49.1330328,-123.0964671,Browns Social House,6.0,1
49.1325243,-123.0924899,Starbucks,3.0,1
49.2638283,-123.1413786,Earls,6.0,1
49.2634479,-123.1380669,McDonald's,2.0,1
49.2656284,-123.2543584,Tim Hortons,3.0,1
49.2656704,-123.2542726,Pizza Pizza,2.0,1
49.2655654,-123.254337,Stackables,2.0,1
49.2673017,-123.2526955,Ike's Café,3.0,1
49.2658558,-123.2544402,Triple O's,6.0,1
49.2601863,-123.2483972,Tim Hortons,2.0,1
49.0855287,-123.0848055,Genesis Theater,5.0,0
49.0904049,-123.0780785,Starbucks,3.0,1
49.090412,-123.0782287,Subway,2.0,1
49.1616399,-123.1358929,McDonald's,2.0,1
49.1722688,-123.1361069,Starbucks,3.0,1
49.1711386,-123.1360519,Boston Pizza,6.0,1
49.1712706,-123.1358928,Blenz Coffee,3.0,1
49.1540431,-123.1249608,A&W,2.0,1
49.1343339,-123.0651422,The Old Spaghetti Factory,6.0,1
